
  KODETABELL produsert av FxTell 2015.02.18 - 13:55:51
  Gjelder for alle filer i kjøringen. Filnavnene finnes i VOLUMTABELL
--------------------------------------------------------------------------------------------------------------------------------------------------
Hvor SOSINavn                                         Verdi                                                   Ant  Tekst                          
--------------------------------------------------------------------------------------------------------------------------------------------------
  H .HODE                                             v                                                         1  
  H ..TRANSPAR                                        v                                                         1  
  H ...KOORDSYS                                       23                                                        1   - 
  H ...ORIGO-NØ                                       0 0                                                       1   - 
  H ...ENHET                                          1                                                         1   - 
  H ..OMRÅDE                                          v                                                         1  
  H ...MIN-NØ                                         6426049 -99554                                            1   - 
  H ...MAX-NØ                                         7962744 1121943                                           1   - 
  H ..DATO                                            20150216                                                  1   - 
  H ..EIER                                            v                                                         1  
  H ..PROSESS_HISTORIE                                v                                                         1  
  H ..SOSI-NIVÅ                                       v                                                         1  
  H ..SOSI-VERSJON                                    v                                                         1  
  H ..TEGNSETT                                        v                                                         1  

  G .PUNKT                                            v                                                       760  v
  G ..ANLEGGID                                                                                                 13   - 
  G ..ANLEGGID                                        1                                                         1   - 
  G ..ANLEGGID                                        10                                                        1   - 
  G ..ANLEGGID                                        1008                                                      1   - 
  G ..ANLEGGID                                        1010                                                      1   - 
  G ..ANLEGGID                                        1011                                                      1   - 
  G ..ANLEGGID                                        1012                                                      1   - 
  G ..ANLEGGID                                        1017                                                      1   - 
  G ..ANLEGGID                                        1018                                                      1   - 
  G ..ANLEGGID                                        102                                                       1   - 
  G ..ANLEGGID                                        1020                                                      1   - 
  G ..ANLEGGID                                        1021                                                      1   - 
  G ..ANLEGGID                                        1022                                                      1   - 
  G ..ANLEGGID                                        1025                                                      1   - 
  G ..ANLEGGID                                        1026                                                      1   - 
  G ..ANLEGGID                                        1027                                                      1   - 
  G ..ANLEGGID                                        1030                                                      1   - 
  G ..ANLEGGID                                        1033                                                      1   - 
  G ..ANLEGGID                                        1034                                                      1   - 
  G ..ANLEGGID                                        1035                                                      1   - 
  G ..ANLEGGID                                        104                                                       1   - 
  G ..ANLEGGID                                        1041                                                      1   - 
  G ..ANLEGGID                                        1042                                                      1   - 
  G ..ANLEGGID                                        1043                                                      1   - 
  G ..ANLEGGID                                        1046                                                      1   - 
  G ..ANLEGGID                                        1047                                                      1   - 
  G ..ANLEGGID                                        1048                                                      1   - 
  G ..ANLEGGID                                        1050                                                      1   - 
  G ..ANLEGGID                                        1051                                                      1   - 
  G ..ANLEGGID                                        1053                                                      1   - 
  G ..ANLEGGID                                        1054                                                      1   - 
  G ..ANLEGGID                                        1055                                                      1   - 
  G ..ANLEGGID                                        1056                                                      1   - 
  G ..ANLEGGID                                        1058                                                      1   - 
  G ..ANLEGGID                                        1059                                                      1   - 
  G ..ANLEGGID                                        106                                                       1   - 
  G ..ANLEGGID                                        1060                                                      1   - 
  G ..ANLEGGID                                        1064                                                      1   - 
  G ..ANLEGGID                                        1065                                                      1   - 
  G ..ANLEGGID                                        1066                                                      1   - 
  G ..ANLEGGID                                        1067                                                      1   - 
  G ..ANLEGGID                                        1068                                                      1   - 
  G ..ANLEGGID                                        1072                                                      1   - 
  G ..ANLEGGID                                        1073                                                      1   - 
  G ..ANLEGGID                                        1074                                                      1   - 
  G ..ANLEGGID                                        1077                                                      1   - 
  G ..ANLEGGID                                        1078                                                      1   - 
  G ..ANLEGGID                                        1079                                                      1   - 
  G ..ANLEGGID                                        1080                                                      1   - 
  G ..ANLEGGID                                        1082                                                      1   - 
  G ..ANLEGGID                                        1083                                                      1   - 
  G ..ANLEGGID                                        1084                                                      1   - 
  G ..ANLEGGID                                        1085                                                      1   - 
  G ..ANLEGGID                                        1086                                                      1   - 
  G ..ANLEGGID                                        1088                                                      1   - 
  G ..ANLEGGID                                        1089                                                      1   - 
  G ..ANLEGGID                                        1090                                                      1   - 
  G ..ANLEGGID                                        1091                                                      1   - 
  G ..ANLEGGID                                        1092                                                      1   - 
