Kode; Initialverdi; Beskrivelse
Abbor;1;
Bergnebb;2;
Blåskjell;3;
Breiflabb;4;
Brisling;5;
Flatøsters;6;
Flekksteinbit;7;
Gjedde;8;
Gråsteinbit;9;
Haneskjell;10;
Harpeskjell;11;
Harr;12;
Havabbor;13;
Hjerteskjell;14;
Hummer;15;
Hyse;16;
Kamskjell;17;
Kongekrabbe;18;
Krabbe;19;
Kreps;20;
Kråkebolle;21;
Kuskjell;22;
Kveite;23;
Lake;24;
Laksefisk;25;
Leppefisk;26;
Lysing;27;
Makrell;28;
Marin;29;
Musling;30;
o-skjell;31;
Piggvar;32;
Reke;33;
Rognkjeks;34;
Rødspette;35;
Røye;36;
Sei;37;
Sild;38;
Skjell;39;
Skrubbe;40;
Snegl;41;
Steinbit;42;
Suter;43;
Torsk;44;
Tunge;45;
Ørret;47;
Østers;48;
Ål;46;
