id;kode;beskrivelse
0;5001;EL_Nettstasjon
1;5001;Bygning
2;6311;Flaggstang
3;6311;Forankret ballong
4;6311;Fornoyelsesparkinnretning
5;6311;Fyrtårn
6;6311;Gjerde
7;6313;Tank
8;6314;Skilt
9;6314;Silo
10;6316;Pipe
11;6316;Raffineri
12;6321;Hopptårn
13;6321;Kjøletårn
14;6321;Kontrolltårn
15;6321;Kraftverk
16;6360;Kran
17;6360;Kuppel
18;6360;Landbruksutstyr
19;6651;Petroleumsinnretning
20;7311;Stolpe
21;8511;Lysmast
22;8511;Monument
23;8511;Navigasjonshjelpemiddel
24;8511;Oljerigg
25;8603;Tårn
26;8603;Vanntårn
27;8603;Vindmølle
28;8603;Vindmøllepark
29;8604;Telemast
30;8604;Terrengpunkt
31;8604;Tre
32;9999;Vindmåler
33;7531;Annet
