id;kode;beskrivelse
0;7531;Annet
1;7531;Bru
2;5001;Bygning
3;5001;Demning
4;5001;EL_Nettstasjon
5;6311;Flaggstang
6;6311;Forankret ballong
7;6311;Fornoyelsesparkinnretning
8;6311;Fyrtårn
9;6311;Gjerde
10;7313;Gondolbane
11;6321;Hopptårn
12;6321;Kjøletårn
13;6321;Kontrolltårn
14;6321;Kraftledning
15;6321;Kraftverk
16;6360;Kran
17;6360;Kuppel
18;6360;Landbruksutstyr
19;8511;Lysmast
20;8511;Monument
21;8511;Navigasjonshjelpemiddel
22;8511;Oljerigg
23;6651;Petroleumsinnretning
24;6316;Pipe
25;6316;Raffineri
26;6314;Silo
27;6314;Skilt
28;7312;Skitrekk
29;7312;Skogsområde
30;7311;Stolheis
31;7311;Stolpe
32;6313;Tank
33;7301;Taubane
34;8604;Telemast
35;8604;Terrengpunkt
36;8604;Tre
37;8603;Tårn
38;8603;Vanntårn
39;8603;Vindmølle
40;8603;Vindmøllepark
41;9999;Vindmåler
